player_name,player_id,season,injury,from,until,days_missed,games_missed,age,dob,nationality_id,nationality_name,club_name,league_id,league_name,overall,value_eur,wage_eur,height_cm,weight_kg,club_position,fifa_update_date,short_name,long_name,combined_name,preferred_foot,work_rate,body_type,pace,month,injury_category,position_category,total_days_missed,injury_count
Bartosz Bereszynski,144143,22/23,Knee injury,2023-03-22,2023-04-04,13,3,29,1992-07-12,37,Poland,Sampdoria,31,Serie A,73,2700000,15000,183,77,RB,2022-09-01,B. Bereszyński,Bartosz Bereszyński,Bartosz Bereszyński,Right,High/Medium,Normal (170-185),84,Mar,joint and ligament injuries,defenders,22,3
Bartosz Bialek,535551,22/23,Foot injury,2022-11-01,2022-11-30,29,3,20,2001-11-11,37,Poland,VfL Wolfsburg,19,Bundesliga,68,2700000,13000,191,84,SUB,2022-09-01,B. Białek,Bartosz Białek,Bartosz Białek,Right,Medium/Medium,Lean (185+),67,Nov,miscellaneous,other,29,1
Bas Dost,56331,22/23,Hamstring injury,2023-05-07,2023-05-30,23,3,33,1989-05-31,34,Netherlands,FC Utrecht,10,Eredivisie,76,4800000,18000,196,83,RS,2022-09-01,B. Dost,Bas Leon Dost,Bas Dost,Right,Medium/Medium,Lean (185+),44,May,muscle injuries,forwards,85,4
Bas Kuipers,187188,22/23,Elbow injury,2023-01-08,2023-03-26,77,12,27,1994-08-17,34,Netherlands,Go Ahead Eagles,10,Eredivisie,68,1300000,4000,180,74,LB,2022-09-01,B. Kuipers,Bas Edo Kuipers,Bas Kuipers,Left,Medium/Medium,Normal (170-185),70,Jan,miscellaneous,defenders,108,2
Bassala Sambou,406924,21/22,unknown injury,2022-01-13,2022-01-24,11,2,23,1997-10-15,21,Germany,Fortuna Sittard,10,Eredivisie,62,600000,2000,184,75,SUB,2021-08-16,B. Sambou,Bassala Sambou,Bassala Sambou,Right,Medium/Medium,Normal (170-185),77,Jan,unknown injuries,other,11,1
Batuhan Sen,352659,22/23,unknown injury,2023-04-18,2023-04-22,4,1,23,1999-02-03,48,Turkey,Fatih Karagümrük,68,Super Lig,63,925000,7000,192,81,SUB,2022-09-26,B. Şen,Batuhan Ahmet Şen,Batuhan Şen,Right,Medium/Medium,Lean (185+),NA,Apr,unknown injuries,other,4,1
Ben Chilwell,316125,22/23,Hamstring injury,2023-05-06,2023-06-03,28,5,25,1996-12-21,14,England,Chelsea,13,Premier League,82,37000000,110000,180,77,LWB,2022-09-01,B. Chilwell,Ben Chilwell,Ben Chilwell,Left,High/Medium,Normal (170-185),76,May,muscle injuries,defenders,295,3
Ben Chrisene,670846,22/23,Torn knee ligaments,2023-01-14,2023-05-15,121,19,18,2004-01-12,14,England,Aston Villa,13,Premier League,58,625000,3000,183,80,RES,2022-09-01,B. Chrisene,Ben Chrisene,Ben Chrisene,Left,High/Medium,Lean (170-185),67,Jan,joint and ligament injuries,other,121,1
Ben Godfrey,343475,22/23,Broken fibula,2022-08-06,2022-11-05,91,15,24,1998-01-15,14,England,Everton,13,Premier League,77,22000000,31000,183,79,SUB,2022-09-01,B. Godfrey,Ben Godfrey,Ben Godfrey,Right,Medium/High,Normal (170-185),82,Aug,bone injuries,other,91,1
Ben Mee,74810,21/22,Hairline fracture in the fibula,2022-03-01,2022-06-30,121,14,31,1989-09-21,14,England,Burnley,13,Premier League,79,12000000,39000,180,82,LCB,2021-08-16,B. Mee,Ben Mee,Ben Mee,Left,Low/High,Normal (170-185),62,Mar,bone injuries,defenders,121,1
Ben Paton,503782,22/23,Cruciate ligament injury,2023-01-14,NA,408,NA,22,2000-05-05,70,Canada,Ross County,50,Premiership,57,350000,1000,175,67,SUB,2022-09-01,B. Paton,Ben Paton,Ben Paton,Left,Medium/Medium,Lean (170-185),71,Jan,joint and ligament injuries,other,408,1
Ben Purrington,270988,22/23,Ankle injury,2022-10-16,2023-04-10,176,21,26,1996-05-20,14,England,Ross County,50,Premiership,65,775000,2000,178,73,LB,2022-09-01,B. Purrington,Ben Purrington,Ben Purrington,Left,High/Medium,Normal (170-185),71,Oct,joint and ligament injuries,defenders,176,1
Ben Rienstra,64506,21/22,concussion,2022-04-10,2022-04-28,18,7,31,1990-06-05,34,Netherlands,Fortuna Sittard,10,Eredivisie,69,1100000,7000,182,67,RES,2021-08-16,B. Rienstra,Ben Rienstra,Ben Rienstra,Right,Medium/Medium,Normal (170-185),62,Apr,head and neck injuries,other,65,2
Ben Williamson,692381,21/22,Ankle injury,2021-11-05,2021-12-31,56,6,19,2001-08-07,42,Scotland,Livingston,50,Premiership,57,425000,4000,188,85,SUB,2021-08-16,B. Williamson,Ben Williamson,Ben Williamson,Right,Medium/Medium,Lean (185+),67,Nov,joint and ligament injuries,other,59,2
Benaissa Benamar,387199,22/23,unknown injury,2023-01-23,2023-02-01,9,2,25,1997-04-08,129,Morocco,FC Volendam,10,Eredivisie,65,900000,2000,191,85,CDM,2022-09-01,B. Benamar,Benaissa Benamar,Benaissa Benamar,Right,Medium/Medium,Normal (185+),62,Jan,unknown injuries,midfielders,115,3
Beni Baningime,399369,21/22,Cruciate ligament injury,2022-03-20,2023-05-31,437,60,22,1998-09-09,110,Congo DR,Hearts,50,Premiership,66,1800000,2000,178,70,RCM,2021-08-16,B. Baningime,Beni Baningime,Beni Baningime,Right,Medium/High,Lean (170-185),54,Mar,joint and ligament injuries,midfielders,497,2
Benjamin Goller,388058,22/23,Ill,2023-02-25,2023-03-05,8,2,23,1999-01-01,21,Germany,Werder Bremen,19,Bundesliga,69,2800000,11000,180,67,RES,2022-09-01,B. Goller,Benjamin Goller,Benjamin Goller,Right,Medium/Medium,Lean (170-185),80,Feb,illnesses and infections,other,22,2
Benjamin Hadzic,349530,21/22,unknown injury,2022-04-05,2022-04-12,7,1,22,1999-03-04,8,Bosnia and Herzegovina,Austria Klagenfurt,80,Bundesliga,60,400000,2000,185,80,SUB,2021-08-16,B. Hadžić,Benjamin Hadžić,Benjamin Hadžić,Right,Medium/Medium,Normal (185+),45,Apr,unknown injuries,other,169,3
Benjamin Henrichs,202591,21/22,Stomach flu,2022-04-01,2022-04-04,3,1,24,1997-02-23,21,Germany,RB Leipzig,19,Bundesliga,76,9500000,46000,183,79,SUB,2021-08-16,B. Henrichs,Benjamin Henrichs,Benjamin Henrichs,Right,High/Medium,Normal (170-185),74,Apr,illnesses and infections,other,30,3
Benjamin Hubner,52348,22/23,Inner ligament injury,2022-08-01,2023-06-30,333,20,32,1989-07-04,21,Germany,TSG Hoffenheim,19,Bundesliga,75,3600000,28000,193,86,LCB,2022-09-01,B. Hübner,Benjamin Hübner,Benjamin Hübner,Left,Medium/Medium,Normal (185+),38,Aug,joint and ligament injuries,defenders,526,5
Benjamin Lecomte,127181,21/22,Corona virus,2022-02-17,2022-02-21,4,1,30,1991-04-26,18,France,Monaco,16,Ligue 1,79,13000000,41000,187,78,SUB,2021-08-16,B. Lecomte,Benjamin Lecomte,Benjamin Lecomte,Left,Medium/Medium,Normal (185+),NA,Feb,coronavirus,other,32,2
Benjamin Leroy,124901,22/23,Knee injury,2023-01-28,2023-02-02,5,2,33,1989-04-07,18,France,Ajaccio,16,Ligue 1,73,1000000,12000,184,75,GK,2022-09-01,B. Leroy,Benjamin Leroy,Benjamin Leroy,Right,Medium/Medium,Lean (170-185),NA,Jan,joint and ligament injuries,goalkeepers,20,2
Benjamin Pavard,353366,21/22,Corona virus,2022-03-17,2022-03-24,7,1,25,1996-03-28,18,France,FC Bayern München,19,Bundesliga,79,21500000,64000,186,81,RB,2021-08-16,B. Pavard,Benjamin Pavard,Benjamin Pavard,Right,Low/High,Normal (185+),69,Mar,coronavirus,defenders,34,2
Benjamin Siegrist,111426,22/23,Calf injury,2023-01-01,2023-06-30,180,26,30,1992-01-31,47,Switzerland,Celtic,50,Premiership,69,925000,17000,194,85,SUB,2022-09-01,B. Siegrist,Benjamin Kevin Siegrist,Benjamin Siegrist,Right,Medium/Medium,Normal (185+),NA,Jan,muscle injuries,other,214,3
Benjamin Stambouli,127160,22/23,unknown injury,2023-05-06,2023-05-19,13,2,31,1990-08-13,18,France,Adana Demirspor,68,Super Lig,73,2100000,16000,180,82,SUB,2022-09-01,B. Stambouli,Benjamin Stambouli,Benjamin Stambouli,Right,Medium/High,Normal (170-185),50,May,unknown injuries,other,49,2
Benjamin Tetteh,306382,21/22,Muscle injury,2022-02-01,2022-03-02,29,5,23,1997-07-10,117,Ghana,Yeni Malatyaspor,68,Super Lig,72,3600000,11000,193,91,SUB,2021-08-16,B. Tetteh,Benjamin Tetteh,Benjamin Tetteh,Right,High/Low,Normal (185+),78,Feb,muscle injuries,other,70,4
Benjamin Verbic,188180,21/22,Shoulder injury,2021-07-23,2021-08-16,24,3,27,1993-11-27,44,Slovenia,Dynamo Kyiv,332,Premier League,77,11000000,1000,179,70,RES,2021-08-16,B. Verbič,Benjamin Verbič,Benjamin Verbič,Right,High/Medium,Normal (170-185),82,Jul,miscellaneous,other,24,1
Benjamin van Leer,123520,21/22,Foot injury,2021-12-11,2022-02-08,59,7,29,1992-04-09,34,Netherlands,Sparta Rotterdam,10,Eredivisie,67,775000,3000,187,80,SUB,2021-08-16,B. van Leer,Benjamin van Leer,Benjamin van Leer,Right,Medium/Medium,Normal (185+),NA,Dec,miscellaneous,other,59,1
Benno Schmitz,160968,22/23,Ill,2023-02-23,2023-02-27,4,1,27,1994-11-17,21,Germany,FC Köln,19,Bundesliga,75,5500000,23000,182,75,RB,2022-09-01,B. Schmitz,Benno Schmitz,Benno Schmitz,Right,Medium/Medium,Normal (170-185),61,Feb,illnesses and infections,defenders,38,3
Benoit Badiashile,463603,22/23,Hamstring injury,2023-05-19,2023-08-31,104,7,21,2001-03-26,18,France,Monaco,16,Ligue 1,77,22000000,31000,194,75,SUB,2022-09-01,B. Badiashile,Benoît Badiashile Mukinayi,Benoît Badiashile,Left,Medium/High,Normal (185+),61,May,muscle injuries,other,221,6
Berat Djimsiti,165513,22/23,Foot bruise,2023-05-13,2023-05-18,5,1,29,1993-02-19,1,Albania,Atalanta,31,Serie A,79,14500000,51000,190,83,LCB,2022-09-01,B. Djimsiti,Berat Djimsiti,Berat Djimsiti,Right,Medium/Medium,Normal (185+),71,May,bruises and contusions,defenders,128,7
Berkan Emir,241902,21/22,Calf strain,2022-01-08,2022-01-11,3,1,33,1988-02-06,48,Turkey,Göztepe,68,Super Lig,70,825000,8000,178,73,LB,2021-08-16,B. Emir,Berkan Emir,Berkan Emir,Left,Medium/Medium,Normal (170-185),68,Jan,muscle injuries,defenders,3,1
Berkan Kutlu,469787,21/22,Rest,2022-06-06,2022-06-09,3,1,23,1998-01-25,48,Turkey,Galatasaray,68,Super Lig,70,3500000,24000,183,75,LCM,2021-08-16,B. Kutlu,Berkan İsmail Kutlu,Berkan Kutlu,Left,High/Medium,Normal (170-185),67,Jun,rest and fitness,midfielders,6,2
Berkay Dabanli,121528,21/22,Ligament injury,2021-11-30,2021-12-12,12,3,31,1990-06-27,21,Germany,Rheindorf Altach,80,Bundesliga,65,500000,3000,190,88,CB,2021-08-16,B. Dabanlı,Berkay Tolga Dabanlı,Berkay Dabanlı,Right,Medium/Medium,Stocky (185+),32,Nov,joint and ligament injuries,defenders,12,1
Berkay Ozcan,249952,22/23,unknown injury,2022-07-28,2022-08-06,9,2,24,1998-02-15,48,Turkey,İstanbul Başakşehir,68,Super Lig,71,3700000,19000,178,72,SUB,2022-09-01,B. Özcan,Berkay Özcan,Berkay Özcan,Right,Medium/Medium,Normal (170-185),70,Jul,unknown injuries,other,24,3
Berkay Vardar,724350,22/23,Hamstring injury,2022-11-04,2022-11-14,10,2,19,2003-01-14,5,Azerbaijan,Beşiktaş,68,Super Lig,63,1100000,5000,188,78,SUB,2022-09-26,B. Vardar,Berkay Vardar,Berkay Vardar,Right,Low/Medium,Lean (185+),56,Nov,muscle injuries,other,10,1
Berke Ozer,361256,21/22,Knock,2022-01-15,2022-01-21,6,2,21,2000-05-25,48,Turkey,Fenerbahçe,68,Super Lig,68,2600000,8000,190,73,SUB,2021-08-16,B. Özer,Berke Özer,Berke Özer,Right,Medium/Medium,Normal (185+),NA,Jan,bruises and contusions,other,32,4
Bernard Mensah,324321,22/23,Fitness,2023-03-03,2023-03-05,2,1,27,1994-10-17,117,Ghana,Kayserispor,68,Super Lig,72,2700000,13000,180,65,SUB,2022-09-01,B. Mensah,Bernard Mensah,Bernard Mensah,Right,High/Low,Lean (170-185),77,Mar,rest and fitness,other,275,6
Bernardo,364258,22/23,Hamstring injury,2022-08-13,2022-08-26,13,2,27,1995-05-14,54,Brazil,Salzburg,80,Bundesliga,71,2000000,16000,186,76,SUB,2022-09-01,NA,Bernardo Fernandes da Silva Junior,Bernardo NA,Left,Medium/Medium,Lean (185+),71,Aug,muscle injuries,other,139,5
Bernardo Silva,241641,21/22,muscular problems,2021-11-09,2021-11-12,3,1,26,1994-08-10,38,Portugal,Manchester City,13,Premier League,86,80000000,200000,173,64,SUB,2021-08-16,NA,Bernardo Mota Veiga de Carvalho e Silva,Bernardo NA,Left,High/High,Lean (170-185),80,Nov,muscle injuries,other,3,1
Bertrand Traore,131996,22/23,Knee injury,2022-12-28,2023-02-15,49,3,26,1995-09-06,101,Burkina Faso,Aston Villa,13,Premier League,76,9000000,66000,181,73,SUB,2022-09-01,B. Traoré,Bertrand Isidore Traoré,Bertrand Traoré,Left,Medium/Low,Lean (170-185),77,Dec,joint and ligament injuries,other,121,3
Beto,595809,22/23,Lumbago,2023-04-27,2023-05-20,23,4,24,1998-01-31,38,Portugal,Udinese,31,Serie A,79,24500000,21000,194,88,ST,2022-09-01,NA,Norberto Bercique Gomes Betuncal,Norberto NA,Right,High/Medium,Lean (185+),87,Apr,rest and fitness,forwards,72,3
Bevis Mugabi,226971,22/23,Knee injury,2022-11-09,2023-02-17,100,13,27,1995-05-01,146,Uganda,Motherwell,50,Premiership,67,1100000,3000,187,83,RCB,2022-09-01,B. Mugabi,Bevis Kristofer Kizito Mugabi,Bevis Mugabi,Right,Medium/High,Stocky (185+),74,Nov,joint and ligament injuries,defenders,100,1
Beykan Simsek,176341,21/22,unknown injury,2022-02-01,2022-02-18,17,4,26,1995-01-01,48,Turkey,Göztepe,68,Super Lig,68,1400000,7000,175,71,SUB,2021-08-16,B. Şimşek,Beykan Şimşek,Beykan Şimşek,Right,High/Low,Normal (170-185),77,Feb,unknown injuries,other,17,1
Bilal Bayazit,361032,21/22,Corona virus,2022-02-24,2022-03-03,7,2,22,1999-04-08,34,Netherlands,Yukatel Kayserispor,68,Super Lig,61,650000,2000,185,76,RES,2021-09-23,B. Bayazit,Bilal Bayazit,Bilal Bayazit,Right,Medium/Medium,Normal (185+),NA,Feb,coronavirus,other,13,2
Bilal Ould-Chikh,241324,22/23,unknown injury,2022-08-01,2022-08-10,9,1,24,1997-07-28,129,Morocco,FC Volendam,10,Eredivisie,64,800000,2000,170,60,SUB,2022-09-01,B. Ould-Chikh,Bilal Ould-Chikh,Bilal Ould-Chikh,Left,Medium/Low,Stocky (170-),77,Aug,unknown injuries,other,9,1
Billy Gilmour,423744,21/22,Ankle injury,2022-01-08,2022-02-05,28,5,20,2001-06-11,42,Scotland,Norwich City,13,Premier League,72,5500000,43000,170,66,RDM,2021-08-16,B. Gilmour,Billy Gilmour,Billy Gilmour,Right,Medium/Medium,Lean (170-),67,Jan,joint and ligament injuries,midfielders,28,1
Birger Meling,282250,22/23,horse kiss,2022-08-01,2022-08-26,25,3,27,1994-12-17,36,Norway,Rennes,16,Ligue 1,76,8000000,37000,174,64,LB,2022-09-01,B. Meling,Birger Solberg Meling,Birger Meling,Left,High/High,Lean (170-185),82,Aug,back injuries,defenders,59,2
Birkir Bjarnason,34453,21/22,unknown injury,2022-04-16,2022-04-18,2,1,33,1988-05-27,24,Iceland,Adana Demirspor,68,Super Lig,67,625000,6000,183,77,SUB,2021-09-23,B. Bjarnason,Birkir Bjarnason,Birkir Bjarnason,Right,High/High,Normal (170-185),65,Apr,unknown injuries,other,10,3
Blair Alston,135553,22/23,Groin problems,2022-10-16,2022-11-01,16,3,30,1992-03-23,42,Scotland,Kilmarnock,50,Premiership,62,375000,2000,179,71,SUB,2022-09-01,B. Alston,Blair Alston,Blair Alston,Right,High/Medium,Lean (170-185),64,Oct,muscle injuries,other,89,2
Blendi Idrizi,283141,22/23,Torn muscle fiber in the adductor area,2023-04-18,2023-05-17,29,4,24,1998-05-02,219,Kosovo,Schalke 04,19,Bundesliga,68,1900000,9000,179,73,SUB,2022-09-01,B. Idrizi,Blendi Idrizi,Blendi Idrizi,Right,High/Medium,Normal (170-185),75,Apr,muscle injuries,other,43,2
Bobby Adekanye,331514,22/23,unknown injury,2023-04-20,2023-04-30,10,1,23,1999-02-14,34,Netherlands,Go Ahead Eagles,10,Eredivisie,64,1300000,2000,175,70,RM,2022-09-01,B. Adekanye,Bobby Adekanye,Bobby Adekanye,Left,Medium/Medium,Normal (170-185),74,Apr,unknown injuries,midfielders,124,3
Bogdan Lednev,423606,21/22,Corona virus,2022-01-16,2022-01-24,8,NA,23,1998-04-07,49,Ukraine,Dynamo Kyiv,332,Premier League,73,7000000,750,173,70,SUB,2021-08-16,B. Lednev,Bogdan Lednev,Bogdan Lednev,Left,Medium/Medium,Normal (170-185),74,Jan,coronavirus,other,8,1
Bogdan Mykhaylichenko,294730,22/23,unknown injury,2023-04-06,2023-04-12,6,2,25,1997-03-21,49,Ukraine,Shakhtar Donetsk,332,Premier League,70,1900000,500,179,74,SUB,2022-09-01,B. Mykhaylichenko,Bogdan Vasylyovych Mykhaylichenko,Bogdan Mykhaylichenko,Left,High/Medium,Normal (170-185),75,Apr,unknown injuries,other,6,1
Bojan Miovski,476219,22/23,Ankle injury,2023-05-24,2023-05-29,5,2,23,1999-06-24,19,North Macedonia,Aberdeen,50,Premiership,64,1300000,2000,189,82,ST,2022-09-01,B. Miovski,Bojan Miovski,Bojan Miovski,Left,Medium/Medium,Lean (185+),72,May,joint and ligament injuries,forwards,5,1
Bongani Zungu,240892,22/23,Muscle injury,2023-03-03,2023-04-03,31,5,29,1992-10-09,140,South Africa,Mamelodi Sundowns,347,Premier League,69,1200000,600,188,90,SUB,2022-09-26,B. Zungu,Bongani Zungu,Bongani Zungu,Right,Medium/Medium,Lean (185+),55,Mar,muscle injuries,other,31,1
Borja Mayoral,298976,21/22,Corona virus,2022-01-02,2022-01-08,6,1,24,1997-04-05,45,Spain,Roma,31,Serie A,76,12000000,105000,182,74,ST,2021-08-16,NA,Borja Mayoral Moya,Borja NA,Right,Medium/Medium,Normal (170-185),68,Jan,coronavirus,forwards,6,1
Borna Barisic,39125,21/22,unknown injury,2021-10-26,2021-11-08,13,4,28,1992-11-10,10,Croatia,Rangers,50,Premiership,75,5000000,44000,186,80,LB,2021-08-16,B. Barišić,Borna Barišić,Borna Barišić,Left,High/Medium,Normal (185+),76,Oct,unknown injuries,defenders,13,1
Borna Sosa,293194,22/23,infection,2023-05-20,2023-05-23,3,1,24,1998-01-21,10,Croatia,VfB Stuttgart,19,Bundesliga,78,20000000,22000,187,79,LM,2022-09-01,B. Sosa,Borna Sosa,Borna Sosa,Left,High/Low,Lean (185+),79,May,illnesses and infections,midfielders,131,11
Bosko Sutalo,431698,21/22,Corona virus,2022-01-06,2022-01-17,11,3,21,2000-01-01,10,Croatia,Atalanta,31,Serie A,72,4400000,20000,188,72,SUB,2021-08-16,B. Šutalo,Boško Šutalo,Boško Šutalo,Right,Medium/Medium,Lean (185+),64,Jan,coronavirus,other,25,2
Boubacar Kamara,394327,22/23,Ankle injury,2023-04-04,2023-04-30,26,6,22,1999-11-23,18,France,Aston Villa,13,Premier League,80,31000000,69000,184,68,CDM,2022-09-01,B. Kamara,Boubacar Bernard Kamara,Boubacar Kamara,Right,Medium/High,Lean (170-185),70,Apr,joint and ligament injuries,midfielders,85,4
Boulaye Dia,626913,22/23,Knee problems,2023-05-22,2023-06-07,16,4,25,1996-11-16,136,Senegal,Villarreal,53,La Liga,79,24500000,39000,180,75,SUB,2022-09-01,B. Dia,Boulaye Dia,Boulaye Dia,Right,High/Medium,Lean (170-185),83,May,joint and ligament injuries,other,324,3
Bouna Sarr,190685,22/23,Knee surgery,2022-09-01,2023-01-05,126,18,30,1992-01-31,136,Senegal,FC Bayern München,19,Bundesliga,73,2600000,36000,178,71,RES,2022-09-01,B. Sarr,Bouna Sarr,Bouna Sarr,Right,Medium/Medium,Lean (170-185),74,Sep,surgeries,other,210,5
Boy Waterman,4391,22/23,unknown injury,2022-10-29,2022-11-04,6,2,38,1984-01-24,34,Netherlands,PSV,10,Eredivisie,68,130000,3000,188,83,SUB,2022-09-01,B. Waterman,Boy Waterman,Boy Waterman,Right,Medium/Medium,Stocky (185+),NA,Oct,unknown injuries,other,6,1
Brajan Gruda,700106,22/23,unknown injury,2023-03-04,2023-04-01,28,6,18,2004-05-31,21,Germany,FSV Mainz 05,19,Bundesliga,59,575000,2000,176,74,RES,2022-12-17,B. Gruda,Brajan Gruda,Brajan Gruda,Left,Medium/Medium,Normal (170-185),67,Mar,unknown injuries,other,28,1
Bram Nuytinck,104597,22/23,unknown injury,2023-04-22,2023-05-02,10,2,32,1990-05-04,34,Netherlands,Udinese,31,Serie A,75,3600000,15000,190,82,CB,2022-09-01,B. Nuytinck,Bram Nuytinck,Bram Nuytinck,Left,Low/High,Normal (185+),63,Apr,unknown injuries,defenders,84,4
Bram van Polen,41583,21/22,Hamstring injury,2021-11-19,2021-12-13,24,4,35,1985-10-11,34,Netherlands,PEC Zwolle,10,Eredivisie,67,275000,3000,179,73,RB,2021-08-16,B. van Polen,Bram van Polen,Bram van Polen,Right,Medium/High,Normal (170-185),60,Nov,muscle injuries,defenders,24,1
Brandley Kuwas,232219,22/23,unknown injury,2023-05-30,2023-06-08,9,3,29,1992-09-19,85,Curacao,Giresunspor,68,Super Lig,71,1800000,10000,181,77,SUB,2022-09-26,B. Kuwas,Brandley Mack-Olien Kuwas,Brandley Kuwas,Left,Medium/Medium,Normal (170-185),78,May,unknown injuries,other,9,1
Brandon Soppy,546880,22/23,Muscle injury,2023-05-13,2023-07-10,58,5,20,2002-02-21,18,France,Udinese,31,Serie A,70,3300000,6000,181,80,RM,2022-09-01,B. Soppy,Brandon Soppy,Brandon Soppy,Right,Medium/Medium,Normal (170-185),80,May,muscle injuries,midfielders,73,4
Brandon Williams,507700,22/23,unknown injury,2022-07-08,2022-12-04,149,21,21,2000-09-03,14,England,Manchester United,13,Premier League,73,4400000,46000,182,63,RES,2022-09-01,B. Williams,Brandon Williams,Brandon Williams,Right,High/Medium,Lean (170-185),79,Jul,unknown injuries,other,149,1
Branko Jovicic,214715,22/23,unknown injury,2023-04-15,2023-04-22,7,1,29,1993-03-18,51,Serbia,LASK Linz,80,Bundesliga,65,600000,7000,179,74,LDM,2022-09-01,B. Jovičić,Branko Jovičić,Branko Jovičić,Right,Medium/High,Normal (170-185),69,Apr,unknown injuries,midfielders,79,3
Brayann Pereira,620317,21/22,Corona virus,2022-01-06,2022-01-13,7,NA,18,2003-05-21,18,France,Racing Club de Lens,16,Ligue 1,60,600000,1000,172,70,SUB,2022-01-27,B. Pereira,Brayann Pereira,Brayann Pereira,Right,Medium/Medium,Normal (170-185),74,Jan,coronavirus,other,7,1
Bremer,516716,22/23,Muscle injury,2023-05-28,2023-07-01,34,3,25,1997-03-18,54,Brazil,Juventus,31,Serie A,83,45500000,115000,188,82,LCB,2022-09-01,NA,Gleison Bremer Silva Nascimento,Gleison NA,Right,High/Medium,Normal (185+),78,May,muscle injuries,defenders,93,8
Brendan Chardonnet,250779,22/23,horse kiss,2023-01-19,2023-02-18,30,5,27,1994-12-22,18,France,Brest,16,Ligue 1,75,6500000,20000,181,74,RCB,2022-09-01,B. Chardonnet,Brendan Chardonnet,Brendan Chardonnet,Right,Medium/High,Normal (170-185),54,Jan,back injuries,defenders,30,1
Brenden Aaronson,393323,21/22,Knee problems,2022-03-19,2022-04-23,35,7,20,2000-10-22,95,United States,Salzburg,80,Bundesliga,70,3500000,11000,178,67,CAM,2021-08-16,B. Aaronson,Brenden Russell Aaronson,Brenden Aaronson,Right,High/Medium,Lean (170-185),80,Mar,joint and ligament injuries,midfielders,35,1
Brian Brobbey,473169,22/23,Shoulder injury,2023-01-09,2023-01-13,4,1,20,2002-02-01,34,Netherlands,Ajax,10,Eredivisie,76,16500000,13000,180,78,SUB,2022-09-01,B. Brobbey,Brian Ebenezer Adjei Brobbey,Brian Brobbey,Right,Medium/Low,Stocky (170-185),82,Jan,miscellaneous,other,73,3
Brian Ocampo,598765,22/23,Cruciate ligament injury,2023-02-22,2023-09-22,212,21,23,1999-06-25,60,Uruguay,Cádiz,53,La Liga,74,9500000,22000,175,74,SUB,2022-09-26,B. Ocampo,Brian Alexis Ocampo Ferreira,Brian Ocampo,Right,Medium/Medium,Normal (170-185),83,Feb,joint and ligament injuries,other,212,1
Brian Oddei,546176,21/22,Corona virus,2021-07-11,2021-07-21,10,NA,18,2002-09-01,27,Italy,Sassuolo,31,Serie A,64,1500000,3000,175,55,RES,2022-05-06,B. Oddei,Brian Oddei,Brian Oddei,Left,High/Medium,Normal (170-185),68,Jul,coronavirus,other,10,1
Brian Plat,474838,22/23,unknown injury,2023-05-01,2023-06-30,60,4,22,2000-04-05,34,Netherlands,FC Volendam,10,Eredivisie,62,750000,1000,191,82,RCB,2022-09-01,B. Plat,Brian Plat,Brian Plat,Right,Medium/Medium,Normal (185+),56,May,unknown injuries,defenders,60,1
Bright Arrey-Mbi,580193,22/23,Ill,2023-02-24,2023-03-26,30,5,19,2003-03-26,21,Germany,FC Köln,19,Bundesliga,62,1100000,4000,187,80,RES,2022-09-01,B. Arrey-Mbi,Bright Akwo Arrey-Mbi,Bright Arrey-Mbi,Left,Medium/Medium,Normal (185+),68,Feb,illnesses and infections,other,35,2
Bright Osayi-Samuel,358948,22/23,Torn thigh muscle,2023-05-11,2023-06-01,21,5,24,1997-12-31,133,Nigeria,Fenerbahçe,68,Super Lig,74,6000000,39000,175,74,RB,2022-09-01,B. Osayi-Samuel,Bright Osayi-Samuel,Bright Osayi-Samuel,Right,High/Medium,Normal (170-185),93,May,muscle injuries,defenders,47,3
Britt Assombalonga,186172,22/23,unknown injury,2023-04-10,2023-05-09,29,6,29,1992-12-06,110,Congo DR,Adana Demirspor,68,Super Lig,71,1900000,16000,177,79,SUB,2022-09-01,B. Assombalonga,Britt Curtis Assombalonga,Britt Assombalonga,Right,Medium/Low,Stocky (170-185),78,Apr,unknown injuries,other,48,2
Bror Blume,189044,22/23,Torn ankle ligaments,2023-02-25,2023-04-21,55,7,30,1992-01-22,13,Denmark,Wattens,80,Bundesliga,68,1200000,5000,178,73,RCM,2022-09-01,B. Blume,Bror Emil Blume Jensen,Bror Blume,Right,High/Medium,Normal (170-185),72,Feb,joint and ligament injuries,midfielders,73,3
Bruce Anderson,382096,22/23,Ankle injury,2022-08-18,2022-09-30,43,5,23,1998-09-23,42,Scotland,Livingston,50,Premiership,65,1100000,2000,177,77,SUB,2022-09-01,B. Anderson,Bruce Anderson,Bruce Anderson,Right,Medium/Low,Normal (170-185),72,Aug,joint and ligament injuries,other,119,2
Bruma,139396,22/23,Hamstring muscle injury,2022-09-10,2022-10-01,21,2,27,1994-10-24,38,Portugal,Fenerbahçe,68,Super Lig,77,11000000,21000,173,70,SUB,2022-09-01,NA,Armindo Tué Na Bangna,Armindo NA,Right,High/Low,Lean (170-185),90,Sep,muscle injuries,other,32,2
Bruno Amione,644676,22/23,unknown injury,2023-05-15,2023-05-18,3,1,20,2002-01-03,52,Argentina,Hellas Verona,31,Serie A,68,2700000,7000,187,90,SUB,2022-09-01,B. Amione,Bruno Amione,Bruno Amione,Left,Medium/High,Normal (185+),64,May,unknown injuries,other,3,1
